                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                 1.3386,                0.47669,                 1.2372,                0.98649,                0.98671,                  0.993,                0.60654,                 1.4397,                0.41295,                 1.3763,             9.0301e-05,             9.0301e-05,             9.0301e-05
                     99,                 1.3548,                0.48306,                 1.2446,                 0.9882,                0.98837,                 0.9933,                0.61008,                 1.4388,                0.40986,                 1.3842,             9.0201e-05,             9.0201e-05,             9.0201e-05
                    100,                 1.3557,                 0.4917,                 1.2369,                0.98686,                0.98671,                0.99344,                0.60649,                 1.4466,                0.40818,                 1.3634,             9.0101e-05,             9.0101e-05,             9.0101e-05
                    101,                 1.3406,                0.47257,                 1.2391,                0.98765,                0.98671,                 0.9929,                0.61141,                 1.4413,                0.40899,                 1.3747,             9.0001e-05,             9.0001e-05,             9.0001e-05
                    102,                 1.3351,                0.47768,                 1.2379,                0.98628,                0.98505,                0.99322,                0.61146,                 1.4381,                0.40894,                 1.3815,             8.9901e-05,             8.9901e-05,             8.9901e-05
                    103,                 1.3226,                0.47307,                 1.2257,                0.98354,                0.98339,                0.99229,                0.60702,                 1.4468,                0.40712,                 1.3652,             8.9801e-05,             8.9801e-05,             8.9801e-05
                    104,                 1.3264,                0.47559,                 1.2326,                 0.9845,                0.98339,                0.99173,                 0.6104,                 1.4351,                0.40546,                  1.371,             8.9701e-05,             8.9701e-05,             8.9701e-05
                    105,                 1.3373,                0.47314,                 1.2331,                0.98262,                0.98339,                0.99184,                0.61266,                   1.44,                0.40462,                 1.3485,             8.9601e-05,             8.9601e-05,             8.9601e-05
                    106,                 1.3454,                0.47631,                 1.2182,                0.98599,                0.98671,                0.99337,                0.61161,                 1.4454,                0.40629,                 1.3479,             8.9501e-05,             8.9501e-05,             8.9501e-05
                    107,                 1.3261,                0.47813,                 1.2163,                0.98352,                0.98505,                 0.9932,                0.60707,                  1.447,                0.41119,                 1.3343,             8.9401e-05,             8.9401e-05,             8.9401e-05
                    108,                  1.323,                 0.4696,                 1.2103,                0.98647,                0.98671,                0.99323,                0.61045,                 1.4403,                0.40603,                 1.3374,             8.9301e-05,             8.9301e-05,             8.9301e-05
                    109,                 1.3113,                0.47122,                 1.2064,                0.98619,                0.98671,                0.99302,                 0.6104,                 1.4436,                0.40774,                 1.3459,             8.9201e-05,             8.9201e-05,             8.9201e-05
                    110,                 1.3192,                0.47097,                 1.2214,                0.98466,                0.98505,                0.99274,                0.61175,                 1.4388,                0.40567,                 1.3581,             8.9101e-05,             8.9101e-05,             8.9101e-05
                    111,                 1.3241,                0.46942,                 1.2296,                0.98469,                0.98505,                0.99241,                0.61087,                 1.4395,                 0.4109,                 1.3749,             8.9001e-05,             8.9001e-05,             8.9001e-05
                    112,                 1.3332,                0.47552,                 1.2339,                0.98644,                0.98671,                0.99306,                 0.6061,                 1.4448,                  0.409,                 1.3764,             8.8901e-05,             8.8901e-05,             8.8901e-05
                    113,                  1.313,                0.46857,                 1.2194,                0.98504,                0.98419,                0.99301,                0.60612,                 1.4388,                0.40701,                 1.3728,             8.8801e-05,             8.8801e-05,             8.8801e-05
                    114,                 1.3268,                0.47572,                 1.2321,                0.98473,                0.98505,                 0.9924,                0.61269,                 1.4368,                0.40735,                 1.3764,             8.8701e-05,             8.8701e-05,             8.8701e-05
                    115,                 1.3262,                0.47876,                 1.2175,                0.98671,                0.98639,                0.99287,                0.60883,                 1.4475,                0.40729,                  1.364,             8.8601e-05,             8.8601e-05,             8.8601e-05
                    116,                 1.3099,                0.46349,                  1.215,                0.98642,                0.98671,                0.99213,                0.61018,                 1.4462,                0.40651,                 1.3663,             8.8501e-05,             8.8501e-05,             8.8501e-05
                    117,                 1.3205,                0.47671,                 1.2091,                0.98729,                0.98505,                0.99245,                0.60201,                 1.4468,                0.41043,                 1.3474,             8.8401e-05,             8.8401e-05,             8.8401e-05
                    118,                 1.3041,                0.46451,                 1.2086,                0.98669,                0.98542,                0.99307,                0.60876,                 1.4435,                0.40525,                 1.3496,             8.8301e-05,             8.8301e-05,             8.8301e-05
                    119,                 1.3105,                  0.462,                 1.2114,                0.98666,                 0.9829,                0.99254,                0.60519,                 1.4405,                 0.4059,                 1.3561,             8.8201e-05,             8.8201e-05,             8.8201e-05
                    120,                 1.3165,                0.47069,                 1.2187,                0.98818,                0.98339,                 0.9926,                0.60594,                   1.44,                0.40663,                 1.3431,             8.8101e-05,             8.8101e-05,             8.8101e-05
                    121,                 1.2976,                0.46696,                 1.2033,                0.98673,                0.98339,                0.99306,                0.60852,                 1.4395,                0.40611,                 1.3471,             8.8001e-05,             8.8001e-05,             8.8001e-05
                    122,                 1.3018,                0.45467,                 1.2068,                0.98583,                0.98339,                0.99311,                 0.6099,                 1.4357,                0.40462,                 1.3418,             8.7901e-05,             8.7901e-05,             8.7901e-05
                    123,                 1.3118,                0.46506,                 1.2131,                0.98671,                0.98642,                0.99284,                0.60573,                 1.4456,                0.40566,                  1.365,             8.7801e-05,             8.7801e-05,             8.7801e-05
                    124,                 1.3224,                0.46806,                 1.2154,                0.98837,                0.98821,                0.99323,                0.60617,                 1.4423,                0.40784,                 1.3611,             8.7701e-05,             8.7701e-05,             8.7701e-05
                    125,                 1.3015,                0.46394,                 1.2069,                0.98837,                0.98782,                0.99336,                0.60577,                 1.4446,                0.40658,                 1.3587,             8.7601e-05,             8.7601e-05,             8.7601e-05
                    126,                 1.3026,                0.46783,                 1.2166,                 0.9863,                0.98671,                0.99318,                0.60487,                 1.4506,                0.40847,                 1.3801,             8.7501e-05,             8.7501e-05,             8.7501e-05
                    127,                 1.3142,                 0.4652,                 1.2184,                0.98635,                0.98671,                0.99291,                0.60679,                 1.4587,                0.40608,                 1.3785,             8.7401e-05,             8.7401e-05,             8.7401e-05
                    128,                 1.3211,                0.47453,                 1.2288,                0.98766,                0.98837,                0.99351,                0.60469,                 1.4559,                0.40512,                 1.3753,             8.7301e-05,             8.7301e-05,             8.7301e-05
                    129,                 1.2937,                0.46134,                 1.2125,                0.98789,                0.98837,                0.99343,                0.60368,                 1.4613,                0.40592,                  1.388,             8.7201e-05,             8.7201e-05,             8.7201e-05
                    130,                  1.326,                0.46993,                 1.2311,                0.98797,                0.98837,                 0.9933,                0.60246,                 1.4537,                0.40578,                 1.3703,             8.7101e-05,             8.7101e-05,             8.7101e-05
                    131,                 1.3184,                0.46397,                 1.2289,                0.98641,                0.98671,                 0.9931,                0.60844,                 1.4491,                0.40231,                  1.367,             8.7001e-05,             8.7001e-05,             8.7001e-05
                    132,                 1.2825,                 0.4557,                 1.1998,                0.98636,                0.98671,                0.99316,                0.60755,                  1.447,                0.40148,                 1.3695,             8.6901e-05,             8.6901e-05,             8.6901e-05
                    133,                 1.3034,                0.46757,                 1.2193,                0.98643,                0.98671,                0.99271,                0.60747,                 1.4541,                0.40569,                 1.3709,             8.6801e-05,             8.6801e-05,             8.6801e-05
                    134,                  1.311,                0.46798,                 1.2227,                0.98286,                0.98339,                0.99148,                0.60779,                 1.4547,                0.40582,                 1.3795,             8.6701e-05,             8.6701e-05,             8.6701e-05
                    135,                 1.2981,                0.45796,                 1.2213,                0.98461,                0.98505,                0.99254,                0.60894,                 1.4524,                0.40494,                 1.3898,             8.6601e-05,             8.6601e-05,             8.6601e-05
                    136,                 1.3174,                0.46437,                 1.2288,                0.98611,                0.98671,                0.99317,                0.61021,                 1.4518,                0.40677,                 1.3962,             8.6501e-05,             8.6501e-05,             8.6501e-05
                    137,                 1.3067,                0.46604,                 1.2246,                0.98624,                0.98671,                0.99235,                0.60944,                 1.4524,                0.40768,                 1.3973,             8.6401e-05,             8.6401e-05,             8.6401e-05
                    138,                 1.3115,                 0.4681,                 1.2309,                 0.9865,                0.98671,                0.99313,                 0.6106,                 1.4532,                0.40629,                 1.4004,             8.6301e-05,             8.6301e-05,             8.6301e-05
                    139,                  1.296,                0.46141,                 1.2152,                0.98494,                0.98505,                0.99285,                0.60775,                 1.4477,                 0.4061,                 1.3954,             8.6201e-05,             8.6201e-05,             8.6201e-05
                    140,                 1.3103,                0.45828,                 1.2273,                0.98655,                0.98671,                0.99338,                0.61203,                 1.4474,                 0.4093,                 1.3879,             8.6101e-05,             8.6101e-05,             8.6101e-05
                    141,                 1.3012,                0.46607,                  1.222,                0.98313,                0.98339,                0.99081,                0.60616,                 1.4573,                 0.4139,                 1.4023,             8.6001e-05,             8.6001e-05,             8.6001e-05
